Name,Energy,Fat,Saturated_fat,Carbohydrate,Sugars,Fiber,Proteins,Salt,Sodium,Alcohol,Zinc,Magnesium,Omega3,Score,Img
Coca Cola original taste — 330 ml,176 kj(42 kcal),0 g,0 g,"10,6 g","10,6 g",0 g,0 g,0 g,0 g,Na,Na,Na,Na,E,_544_900_000_0996_front_es.211.200.jpg
Passata di pomodoro Rustica — Italiamo — 700 g,176 kj(42 kcal),"0,2 g",0 g,"6,6 g",3 g,Na,"2,1 g","0,04 g","0,016 g",Na,Na,Na,Na,A,_20164034_front_fr.9.200.jpg
Nesquik — Nestlé — 1 kg,293 kj(70 kcal),"1,8 g",1 g,"9,8 g","9,5 g","0,4 g","3,6 g","0,14 g","0,055 g",Na,"0,86 mg",Na,Na,Na,_303_371_006_5967_front_fr.80.200.jpg
Bebida de Arroz — Isola Bio — 1 l,238 kj(57 kcal),1 g,"0,1 g",12 g,"5,5 g","0,5 g","0,2 g","0,2 g","0,079 g",Na,Na,Na,Na,B,_802_367_816_1288_front_es.38.200.jpg
Oatly avena cacao bio — 1 l,209 kj(50 kcal),"0,6 g","0,2 g","9,9 g","7,1 g","1,3 g","1,3 g","0,1 g","0,039 g",0 % vol,Na,Na,Na,B,_739_437_661_5870_front_es.10.200.jpg
Espaguetti Sazonador — Hacendado — 45 g,1072 kj(256 kcal),"4,7 g","0,4 g","31,5 g","28,7 g","23,7 g","10,2 g","19,3 g","7,598 g",Na,Na,Na,Na,D,_848_000_034_1341_front_es.21.200.jpg
Veggieburger congeladas Curry con tofu y trigo — Gutbio — 260 g (4 x 65 g),1120 kj(268 kcal),14 g,2 g,24 g,"7,7 g",Na,10 g,"0,91 g","0,358 g",Na,Na,Na,Na,C,_24021692_front_es.7.200.jpg
Tabulé oriental — Casa Morando — 400 g,668 kj(160 kcal),"5,1 g","0,4 g",23 g,"5,3 g",Na,"4,2 g","1,2 g","0,472 g",Na,Na,Na,Na,C,_24053044_front_es.5.200.jpg
Veggie Curry Hindú — GutBio — 250 g,594 kj(142 kcal),"9,2 g","1,1 g","4,8 g","4,8 g",Na,7 g,"1,1 g","0,433 g",Na,Na,Na,Na,C,_200_000_008_2211_front_es.4.200.jpg
Veggie Curry Thai — GutBio — 250 g,618 kj(148 kcal),9 g,4 g,"6,8 g","5,8 g",Na,"6,6 g",1 g,"0,394 g",Na,Na,Na,Na,C,_200_000_008_2212_front_es.4.200.jpg
Veggie Picadillo — GutBio — 200 g,575 kj(137 kcal),"5,6 g","0,6 g","5,9 g","5,1 g",Na,"13,1 g","1,48 g","0,583 g",Na,Na,Na,Na,C,_24087049_front_es.6.200.jpg
Salsa de Tomate Napoletana Bio — Combino — 350 g e / 330 ml,201 kj(48 kcal),"0,9 g","0,1 g","7,6 g","5,8 g",Na,"1,2 g","1,5 g","0,591 g",Na,Na,Na,Na,C,_20163020_front_es.9.200.jpg
Bellarom Clásico/Clássico — 200 g,0 kj(0 kcal),0 g,0 g,0 g,0 g,Na,0 g,0 g,0 g,Na,Na,Na,Na,Na,_20918835_front_fr.20.200.jpg
Turrón Duro — Hacendado — 2 tablettes,2105 kj(503 kcal),33 g,"2,5 g",44 g,38 g,"4,7 g",12 g,"0,03 g","0,012 g",Na,Na,Na,Na,D,_848_000_036_0175_front_fr.9.200.jpg
Muesli croustillant aux éclats de chocolat — Crownfield — 600 g,1879 kj(449 kcal),"16,8 g","6,1 g","61,3 g","19,2 g","7,5 g","9,4 g","0,23 g","0,091 g",Na,Na,Na,Na,D,_20201807_front_fr.18.200.jpg
Figuritas de mazapán — Flor de Navidad — 200 g,2001 kj(478 kcal),24 g,"1,7 g",56 g,56 g,Na,"8,4 g","0,01 g","0,004 g",Na,Na,Na,Na,D,_24086721_front_es.15.200.jpg
Arroz Integral — Nomen — 1 Kg,1460 kj(349 kcal),"2,5 g","0,5 g",72 g,"0,5 g","2,8 g","8,2 g","0,03 g","0,012 g",Na,Na,Na,Na,A,_841_149_511_4677_front_es.14.200.jpg
Garbanzo Blanco Lechoso — El Cultivador — 1 Kg,1489 kj(356 kcal),"6,3 g","0,4 g","45,1 g","2,2 g",Na,21 g,"0,05 g","0,02 g",Na,Na,Na,Na,A,_24050333_front_es.9.200.jpg
Hummus con garbanzos y sésamo — Casa Morando — 200 g,1595 kj(381 kcal),"34,6 g","3,3 g","11,1 g","0,9 g",Na,"6,2 g","1,28 g","0,504 g",Na,Na,Na,Na,D,_24023153_front_es.7.200.jpg
Ovomaltine — 200 g,1544 kj(369 kcal),"1,7 g","0,9 g",76 g,"50,6 g",5 g,"9,9 g","0,5 g","0,197 g",Na,Na,315 mg,Na,E,_761_210_005_4994_front_fr.6.200.jpg
Bebida Avena Nature — Ecomil — 400 g,1774 kj(424 kcal),"9,2 g",1 g,"79,2 g","24,3 g",Na,"4,5 g","0,2 g","0,079 g",Na,Na,Na,Na,C,_842_853_216_0771_front_es.7.200.jpg
Gazpacho — Eroski — 1 L,167 kj(40 kcal),"2,7 g","0,5 g","2,5 g","2,5 g","1,5 g","0,7 g","0,8 g","0,315 g",Na,Na,Na,Na,A,_848_001_004_5994_front_es.16.200.jpg
Espárragos Verdes Primera — Gigante Verde — 330 g (190 g égoutté). 370 ml,88 kj(21 kcal),"0,5 g","0,1 g","1,1 g","0,7 g","1,4 g","2,2 g","0,8 g","0,315 g",Na,Na,Na,Na,A,_841_007_600_1320_front_fr.8.200.jpg
Vichyssoise Puerro y Patata — Sin marca — 620 g,172 kj(41 kcal),1 g,"0,16 g","6,3 g","< 0,1 g",Na,"1,2 g","0,68 g","0,268 g",Na,Na,Na,Na,B,_801_419_001_2479_front_es.6.200.jpg
"Queso blanco pasterizado de cabra — Gutbio — 200 g,",845 kj(202 kcal),"16,4 g","9,3 g","3,1 g","3,1 g",Na,"10,4 g","0,43 g","0,169 g",Na,Na,Na,Na,C,_24095723_front_es.4.200.jpg
Tofu Mediterráneo — Soria Natural — 200 g,674 kj(161 kcal),"6,5 g","0,9 g",12 g,"< 0,5 g","3,4 g",12 g,"1,5 g","0,591 g",Na,Na,Na,Na,B,_842_294_752_0182_front_es.19.200.jpg
"Mezcla de pipas, sésamo y anacardos — GutBio — 275 g",7900 kj(1888 kcal),160 g,"23,7 g","26,7 g","9,33 g",Na,80 g,"< 0,033 g","0,013 g",Na,Na,Na,Na,E,_29046829_front_es.8.200.jpg
"Aceitunas Negras Cacereñas deshuesadas — Baresa — 350 g (neto), 150 g (escurrido)",561 kj(134 kcal),14 g,"2,2 g",0 g,0 g,Na,"0,5 g","2,5 g","0,984 g",Na,Na,Na,Na,D,_20124700_front_es.13.200.jpg
"Arroz semi integral de cultivo ecologico — El Granero — 1 kg,",1467 kj(351 kcal),"1,4 g","0,46 g","75,7 g","0,22 g","1,4 g","6,9 g","0,025 g","0,01 g",Na,Na,Na,Na,A,_842_258_401_8691_front_es.4.200.jpg
Lebkuchen — Favorina — 500g,1640 kj(392 kcal),"10,9 g","6,7 g","66,9 g","33,6 g",Na,"5,4 g","0,29 g","0,114 g",Na,Na,Na,Na,D,_20036157_front_es.5.200.jpg
Fanta Orange (33 cl),163 kj(39 kcal),0 g,0 g,"9,6 g","9,6 g",Na,0 g,0 g,0 g,Na,Na,Na,Na,E,_544_900_001_1527_front_es.134.200.jpg
Pimentón de la Vera Dulce — Yuste 1557 — 75 g,0 kj(0 kcal),0 g,0 g,0 g,0 g,Na,0 g,0 g,0 g,Na,Na,Na,Na,B,_841_291_700_2084_front_es.17.200.jpg
Pistachos de California tostados y salados — Alesto — 250 g,2531 kj(605 kcal),"49,2 g","6,3 g","10,3 g","5,6 g",Na,"26,5 g","1,78 g","0,701 g",Na,Na,Na,Na,E,_20005719_front_es.37.200.jpg
Biscotes Integrales — Carrefour Bio — 300 g (2 * 18),1582 kj(378 kcal),5 g,"0,5 g",64 g,4 g,"8,5 g",15 g,"1,3 g","0,512 g",Na,Na,Na,Na,A,_356_007_030_8316_front_fr.49.200.jpg
Hummus — Simply Greek — 150 g (neto),1259 kj(301 kcal),"24,5 g","4,1 g","11,4 g",9 g,7 g,"6,4 g","0,9 g","0,354 g",Na,Na,Na,Na,C,_843_208_910_8117_front_es.12.200.jpg
Churros — Hacendado — 500 g (24 uds),724 kj(173 kcal),"1,7 g","0,3 g",33 g,"7,1 g","1,9 g","5,2 g","1,5 g","0,591 g",Na,Na,Na,Na,C,_848_000_024_4055_front_es.7.200.jpg
Postre Soja Naranja sanguina Lima-limón — Alpro — 4 x 125 g,314 kj(75 kcal),2 g,"0,3 g","9,6 g","9,3 g","0,6 g","3,6 g","0,2 g","0,079 g",Na,Na,Na,Na,B,_541_118_811_2303_front_es.22.200.jpg
Panettone Classico — Favorina — 1000 g,1485 kj(355 kcal),"11,9 g","7,4 g","54,2 g","30,2 g",Na,"6,7 g","0,4 g","0,157 g",Na,Na,Na,Na,D,_20037710_front_es.3.200.jpg
"Patatas fritas lisas ""Hacendado"" Al estilo tradicional — 300 g (2 x 150 g)",2276 kj(544 kcal),34 g,4 g,"52,6 g","0,5 g","5,1 g","6,8 g","1,3 g","0,512 g",Na,Na,Na,Na,C,_848_000_033_3605_front_es.5.200.jpg
Parmigiano Reggiano rallado — Carrefour — 100 g,1682 kj(402 kcal),30 g,20 g,0 g,0 g,Na,32 g,"1,6 g","0,63 g",Na,Na,Na,Na,D,_356_007_015_7198_front_fr.75.200.jpg
Nestlé Ricoré original — 100 g,590 kj(141 kcal),0 g,0 g,"9,1 g","9,1 g",45 g,"2,7 g","0,23 g","0,091 g",0 % vol,Na,506 mg,Na,Na,_303_371_007_3467_front_fr.149.200.jpg
Risotto de albahaca y frutos secos — Trevijano — 280 g,1552 kj(371 kcal),"2,8 g","0,8 g","79,1 g","0,6 g",Na,"8,9 g","63,5 g",25 g,Na,Na,Na,Na,Na,_841_077_010_0121_front_es.6.200.jpg
Pesto alla Genovese au basilic frais — Barilla — 190 g,2151 kj(514 kcal),52 g,"5,5 g","5,5 g",4 g,2 g,5 g,"3,37 g","1,327 g",Na,Na,Na,Na,E,_807_680_951_3753_front_fr.39.200.jpg
Anacardos tostados y salados — Alesto — 150 g,2607 kj(623 kcal),50 g,"9,2 g","21,7 g","5,8 g",Na,"18,5 g",1 g,"0,394 g",Na,Na,Na,Na,D,_20413422_front_es.28.200.jpg
Thon albacore au naturel - Auchan — L'oiseau — 200 g (140 g net égoutté),485 kj(116 kcal),"3,1 g",0 g,"0,2 g",0 g,0 g,27 g,1 g,"0,394 g",Na,Na,Na,Na,B,_359_671_009_1935_front_fr.14.200.jpg
Chocolate negro suave 70% — Lindt — 100 g e,2552 kj(610 kcal),48 g,29 g,33 g,29 g,Na,"6,9 g","0,05 g","0,02 g",Na,Na,Na,Na,E,_304_692_002_9780_front_es.113.200.jpg
Bebida de Avena — Carrefour Bio — 1 L,192 kj(46 kcal),"0,8 g","< 0,1 g","8,3 g","6,3 g","< 0,5 g","1,4 g","0,07 g","0,028 g",Na,Na,Na,Na,B,_843_187_624_7251_front_es.17.200.jpg
Queso azul — Carrefour — 250 g,1510 kj(361 kcal),33 g,23 g,1 g,"< 0,5 g",Na,16 g,"1,5 g","0,591 g",Na,Na,Na,Na,D,_356_007_037_0344_front_fr.32.200.jpg
Hamburguesas Soja con zanahoria — Carrefour Bio — 160 g (2 x 80 g),987 kj(236 kcal),"7,7 g","0,3 g",19 g,"1,9 g","8,1 g",19 g,"1,3 g","0,512 g",Na,Na,Na,Na,A,_843_187_626_5316_front_es.11.200.jpg
Bebida de Soja Bajo contenido en azúcares — Carrefour Bio — 1 L,167 kj(40 kcal),2 g,"0,3 g","1,6 g","0,8 g","< 0,5 g","3,6 g","0,05 g","0,02 g",Na,Na,Na,Na,A,_843_187_624_7213_front_es.15.200.jpg
"Riso Scotti Mini galete de orez — 40 g,",2192 kj(524 kcal),20 g,"4,6 g","79,3 g","0,1 g",0 g,"6,1 g",4 g,"1,575 g",Na,Na,Na,Na,E,_800_186_025_2266_front_ro.4.200.jpg
Tostadas con castaña — Ecocesta Productos Ecológicos — 90 g (18 x 5 g),1515 kj(362 kcal),"2,3 g","0,5 g","76,8 g","7,4 g",2 g,"7,2 g","0,72 g","0,283 g",Na,Na,Na,Na,B,_842_258_431_4540_front_es.6.200.jpg
"Cerveza ""Grimbergen"" Dubbel — 33 cl",Na,Na,Na,Na,Na,Na,Na,Na,Na,"6,5 % vol",Na,Na,Na,Na,_541_026_301_0664_front_es.5.200.jpg
Chocapic — Nestlé — 25 g (1 barre),1707 kj(408 kcal),"13,7 g","8,1 g","57,8 g","28,1 g","4,6 g","7,6 g","0,4 g","0,157 g",Na,Na,Na,Na,D,_338_739_032_5768_front_fr.45.200.jpg
Barre muesli abricot & yaourt — Hacendado — 150 g e (6 * 25 g),1628 kj(389 kcal),"7,1 g","4,6 g",74 g,26 g,"3,2 g","5,9 g","0,8 g","0,315 g",Na,Na,Na,Na,D,_848_000_009_3479_front_es.23.200.jpg
"Salsa arrabbiata — Combino — 350 g, 330 ml",172 kj(41 kcal),"0,8 g","0,1 g","5,8 g","4,9 g",Na,"1,5 g","1,2 g","0,472 g",Na,Na,Na,Na,C,_20163044_front_es.11.200.jpg
Postre de soja Chocolate — Sojasun — 400 g (4 x 100 g),460 kj(110 kcal),2 g,"0,5 g","18,8 g","15,9 g",Na,"3,5 g","0,15 g","0,059 g",Na,Na,Na,Na,B,_327_322_748_5234_front_es.29.200.jpg
Sabor cheese — LU — 100 g,2109 kj(504 kcal),23 g,"2,2 g",64 g,"6,4 g","2,2 g","8,3 g","2,14 g","0,843 g",Na,Na,Na,Na,D,_762_230_057_1351_front_fr.96.200.jpg
Tuc — LU — 100g,1992 kj(476 kcal),19 g,"1,9 g",67 g,7 g,"2,9 g","8,6 g","2,2 g","0,866 g",Na,Na,Na,Na,D,_541_004_114_3508_front_fr.51.200.jpg
"Regaliz — Yogi Tea — 30,6 g (17 bolsitas x 1,8 g)",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_401_282_440_0191_front_es.6.200.jpg
Bebida de Soja Calcio Chocolate — Carrefour Bio — 1 L,297 kj(71 kcal),"1,8 g","0,4 g",10 g,"9,4 g","0,6 g","3,3 g","0,1 g","0,039 g",Na,Na,Na,Na,B,_843_187_624_7220_front_es.11.200.jpg
Nestlé Chocolate Negro Floral Receta N 3 78% cacao — Les Recettes de l'Atelier — 100 g,2632 kj(629 kcal),"52,3 g","26,7 g","25,7 g","21,7 g","9,4 g","9,2 g","0,01 g","0,004 g",Na,Na,Na,Na,D,_761_303_620_3999_front_es.11.200.jpg
Pipas — Facundo — 200 g,2703 kj(646 kcal),55 g,5 g,"8,3 g","1,5 g","3,2 g","27,9 g","1,9 g","0,748 g",Na,Na,Na,Na,D,_841_367_100_1214_front_es.11.200.jpg
"Piccolinis Pomodoro Mozzarella — Buitoni — 270 g, 9 pizza de 30 g",914 kj(218 kcal),"8,5 g","3,7 g","25,1 g","2,2 g","1,6 g","9,4 g",1 g,"0,394 g",Na,Na,Na,Na,C,_761_303_437_7104_front_fr.13.200.jpg
Vine leaves stuffed with rice — Eridanous — 280 g,586 kj(140 kcal),"6,8 g","1,6 g","16,5 g","1,5 g",Na,"2,1 g","1,2 g","0,472 g",Na,Na,Na,Na,C,_20026370_front_fr.42.200.jpg
Postre Soja Natural con Almendra — Alpro — 500 g,226 kj(54 kcal),"2,8 g","0,4 g","2,3 g","2,2 g","1,1 g","3,9 g","0,25 g","0,098 g",Na,Na,Na,Na,A,_541_118_811_8961_front_es.59.200.jpg
Cacahuetes tostados y salados — Alesto — 250 g,2590 kj(619 kcal),"51,2 g","7,8 g",11 g,"5,2 g","6,7 g","24,4 g","1,03 g","0,406 g",Na,Na,Na,Na,D,_20014384_front_es.28.200.jpg
Nutella — 780 g,2278 kj(544 kcal),"31,6 g",11 g,"57,6 g","56,8 g",Na,6 g,"0,114 g","0,045 g",Na,Na,Na,Na,E,_301_762_404_7813_front_fr.42.200.jpg
"Setas shiitake — Deluxe — 280 g neto, 170 g escurrido, 310 ml",59 kj(14 kcal),0 g,0 g,"1,3 g",0 g,Na,"1,8 g",1 g,"0,394 g",Na,Na,Na,Na,C,_20386153_front_es.6.200.jpg
Crackers Pizza — Leader Price — 85 g,2209 kj(528 kcal),"28,5 g","3,5 g",57 g,"6,6 g",3 g,"9,5 g","1,8 g","0,709 g",Na,Na,Na,Na,D,_326_385_319_6390_front_fr.12.200.jpg
Palpa di pomodoro all'Arrabbiata — ITALIAMO — 400 g,113 kj(27 kcal),"0,1 g","0,1 g","4,5 g","4,5 g",Na,"1,1 g","0,4 g","0,157 g",Na,Na,Na,Na,B,_20198091_front_es.12.200.jpg
Choco nussa — 400 g,2301 kj(550 kcal),"33,6 g","6,3 g","54,5 g","52,8 g","3,6 g","5,9 g","0,1 g","0,039 g",Na,Na,Na,Na,E,_20003548_front_de.11.200.jpg
"Alubia roja — Hacendado — 570 g (neto), 400 g (escurrido), 580 ml",372 kj(89 kcal),"0,4 g","0,1 g","0,9 g",0 g,"7,9 g","6,3 g","0,8 g","0,315 g",Na,Na,Na,Na,A,_848_000_026_0000_front_es.6.200.jpg
Filetes de tofu al ajo silvestre — Taifun — 160 g (2 x 80 g),1046 kj(250 kcal),"18,6 g","3,2 g","3,1 g","0,8 g",0 g,"16,5 g","1,7 g","0,669 g",Na,Na,Na,Na,D,_401_235_914_4102_front_es.6.200.jpg
Piñones — Alesto — 50 g,3059 kj(731 kcal),"70,7 g","5,7 g","3,9 g","3,1 g","3,2 g","16,5 g",0 g,0 g,Na,Na,Na,Na,D,_20168391_front_es.9.200.jpg
cerveza sin alcohol — Molen Bier — 33cl,79 kj(19 kcal),0 g,Na,"3,4 g",1 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,_848_001_200_1400_front_es.4.200.jpg
"Estrella Galicia 0,0 — 33 cl",88 kj(21 kcal),0 g,0 g,5 g,"3,3 g",0 g,0 g,0 g,0 g,0 % vol,Na,Na,Na,D,_841_259_800_0478_front_es.4.200.jpg
"Grand Dessert Yaourt Cerise — Milbona — 300 g, 2 pots de 150 g",425 kj(102 kcal),"2,5 g","1,6 g",16 g,16 g,Na,"3,4 g","0,13 g","0,051 g",Na,Na,Na,Na,C,_20368906_front_fr.25.200.jpg
Chocolate negro 74% cacao — Bellarom — 100 g,2389 kj(571 kcal),42 g,26 g,32 g,26 g,Na,"9,9 g",0 g,0 g,Na,Na,Na,Na,E,_20022464_front_es.47.200.jpg
Chili con Carne — Chef Select — 400 g e,456 kj(109 kcal),"2,5 g","0,8 g","15,5 g","1,4 g",2 g,"5,1 g","0,88 g","0,346 g",Na,Na,Na,Na,A,_20147563_front_fr.24.200.jpg
Galleta al cacao sin gluten — Gerblé — 125 g,1966 kj(470 kcal),19 g,15 g,68 g,28 g,"4,1 g",4 g,"1,1 g","0,433 g",Na,Na,Na,Na,E,_317_568_112_1294_front_fr.12.200.jpg
Preparado para bebida al cacao — Carrefour BIO — 500g,1536 kj(367 kcal),"3,5 g","2,2 g",71 g,68 g,"9,6 g",8 g,"0,1 g","0,039 g",Na,Na,Na,Na,D,_324_541_164_0620_front_fr.29.200.jpg
Dark Chocolate 90% cocoa — Lindt Excellence — 100 g,2477 kj(592 kcal),55 g,30 g,14 g,7 g,Na,10 g,"0,03 g","0,012 g",Na,Na,Na,Na,D,_304_692_002_9759_front_es.72.200.jpg
Filetes de Tofu estilo Japonés — Taifun — 160 g,862 kj(206 kcal),13 g,"2,2 g","2,7 g","0,5 g",Na,19 g,"1,4 g","0,551 g",Na,Na,Na,Na,C,_401_235_914_4003_front_es.13.200.jpg
Pizza Marinara — Italiamo — 400 g,823 kj(197 kcal),"6,2 g","0,8 g","27,9 g","3,1 g",Na,"6,2 g","1,42 g","0,559 g",Na,Na,Na,Na,C,_20634261_front_es.7.200.jpg
Galletas Tuestis Sin Gluten — Gullón — 400 g (2 x 200 g),1954 kj(467 kcal),18 g,2 g,70 g,20 g,"5,6 g","3,4 g","0,95 g","0,374 g",Na,Na,Na,Na,C,_841_037_604_9381_front_es.12.200.jpg
Chocolate puro sin azúcares — Alipende — 125 g,1849 kj(442 kcal),"30,9 g","19,5 g","54,3 g","0,1 g","6,8 g","5,4 g","0,07 g","0,028 g",Na,Na,Na,Na,C,_842_169_183_7386_front_es.6.200.jpg
Ensalada mediterránea de garbanzo con hortalizas — Huercasa — 250 g,470 kj(112 kcal),"2,1 g","0,3 g",14 g,"1,2 g","3,8 g",6 g,"0,48 g","0,189 g",Na,Na,Na,Na,A,_841_356_722_1535_front_es.7.200.jpg
Pimentón dulce ahumado Origen La Vera — 31 VegaCáceres — 75 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_842_491_201_2548_front_es.7.200.jpg
Variado de Setas para preparar con Verdura — Frutobos — 200 g,130 kj(31 kcal),"0,3 g","0,07 g",4 g,"< 0,5 g",Na,"1,8 g","0,013 g","0,005 g",Na,Na,Na,Na,A,_842_888_190_0011_front_es.5.200.jpg
Judías Pintas Refritas — Old El Paso — 435 g,360 kj(86 kcal),"0,5 g","0,5 g","12,2 g","0,5 g","5,5 g","5,3 g","1,21 g","0,476 g",Na,Na,Na,Na,A,_872_720_050_0209_front_es.6.200.jpg
Tabbouleh — Sin marca — 250 g,615 kj(147 kcal),"3,5 g","0,5 g","24,7 g","1,1 g","5,8 g","3,9 g","1,6 g","0,63 g",Na,Na,Na,Na,B,_843_657_025_2235_front_es.6.200.jpg
Garbanzos al Garam Masala — Sin marca — 300 g,640 kj(153 kcal),"3,8 g","0,4 g","22,8 g","4,3 g","6,4 g","6,7 g","0,7 g","0,276 g",Na,Na,Na,Na,A,_843_657_025_2150_front_es.5.200.jpg
Nutella — 350 g,2255 kj(539 kcal),"30,9 g","10,6 g","57,5 g","56,3 g",Na,"6,3 g","0,1 g","0,039 g",Na,Na,Na,Na,E,_80177173_front_fr.52.200.jpg
Vital Fibre Sticks — Dia — 500 g,1320 kj(315 kcal),"4,33 g","0,667 g","37,7 g","18,3 g",33 g,"15,3 g","1,13 g","0,446 g",Na,Na,Na,Na,C,_848_001_737_1676_front_es.4.200.jpg
Rulo vegetal Setas y pimientos — My Best Veggie — 750 g,703 kj(168 kcal),"5,8 g","0,9 g",4 g,1 g,"14,9 g","17,5 g","0,67 g","0,264 g",Na,Na,Na,Na,A,_20074722_front_es.7.200.jpg
crousti pom — Vico — 50 g e,1372 kj(328 kcal),2 g,"1,4 g","68,8 g","67,8 g",13 g,"1,9 g","0,4 g","0,157 g",Na,Na,Na,Na,C,_316_208_870_7022_front_fr.75.200.jpg
Huile d'Olive Extra Vierge — El Calvario — 500 ml,3389 kj(810 kcal),"91,6 g",13 g,0 g,0 g,Na,0 g,Na,Na,Na,Na,Na,Na,Na,_843_700_806_1368_front_fr.4.200.jpg
Crema de almendras — Almendrina — 900 g,1410 kj(337 kcal),"12,4 g","1,06 g","50,7 g",38 g,Na,"5,7 g","0,027 g","0,011 g",Na,Na,Na,Na,D,_841_063_600_0336_front_es.8.200.jpg
Snacks de Maíz ecológicos — GutBio — 60 g,1824 kj(436 kcal),"13,3 g","1,4 g","71,8 g",0 g,Na,"5,1 g","1,6 g","0,63 g",Na,Na,Na,Na,D,_24001144_front_es.5.200.jpg
Mermelada de frutas del bosque — Ifa Eliges — 350 g,833 kj(199 kcal),0 g,0 g,48 g,47 g,"1,1 g","< 0,5 g",0 g,0 g,Na,Na,Na,Na,C,_848_001_201_0075_front_es.12.200.jpg
Fideos Integral — Hacendado — 500 g,1435 kj(343 kcal),"1,9 g","0,6 g",65 g,"4,3 g",7 g,13 g,0 g,0 g,Na,Na,Na,Na,A,_848_000_006_5117_front_es.15.200.jpg
Bebida de Soja — Auchan — 1 l,180 kj(43 kcal),"1,7 g","0,3 g","3,7 g",3 g,"0,5 g","3,1 g","0,1 g","0,039 g",Na,Na,Na,Na,A,_843_601_909_1142_front_es.6.200.jpg
Fjord Volkoren rogge - Seigle —  250 gr,1444 kj(345 kcal),"1,2 g","0,2 g","66,6 g",3 g,"15,2 g","8,5 g","0,74 g","0,291 g",Na,Na,Na,Na,A,_501_026_500_2201_front_fr.13.200.jpg
Fromage blanc framboise — Délisse — 500 g,515 kj(123 kcal),"5,3 g","3,5 g",14 g,14 g,"0,6 g","4,5 g","0,1 g","0,039 g",Na,Na,Na,Na,C,_356_470_042_4506_front_fr.24.200.jpg
Salsa para pasta con verduras — Italia — 335 ml,271 kj(65 kcal),"3,5 g","0,4 g","6,2 g","5,4 g","1,8 g","1,3 g","0,965 g","0,38 g",Na,Na,Na,Na,C,_29021833_front_es.15.200.jpg
La crema de Alicia — knorr — 1 l,289 kj(69 kcal),"4,4 g","1,6 g",6 g,"3,3 g","1,1 g","1,1 g","0,75 g","0,295 g",Na,Na,Na,Na,C,_871_210_064_5204_front_es.14.200.jpg
Excellence noir corsé — Lindt — 100 g e,2435 kj(582 kcal),47 g,29 g,23 g,18 g,Na,"9,2 g","0,03 g","0,012 g",Na,Na,Na,Na,E,_304_692_001_0047_front_fr.47.200.jpg
Salteado estilo italiano - Freshona — Asia green garden — 750g,188 kj(45 kcal),"2,7 g","1,6 g",3 g,"2,7 g","1,9 g","1,6 g","0,82 g","0,323 g",Na,Na,Na,Na,B,_20068172_front_es.28.200.jpg
Tofu bio — Carrefour Bio — 400 g,711 kj(170 kcal),11 g,"1,9 g","0,6 g","0,6 g",Na,17 g,"0,02 g","0,008 g",Na,Na,Na,Na,A,_843_187_626_5286_front_es.7.200.jpg
Agua Mineral Natural — Font Vella — 50 cl,0 kj(0 kcal),0 g,0 g,0 g,0 g,Na,0 g,0 g,0 g,Na,Na,"11,5 mg",Na,Na,_841_005_505_0011_front_es.15.200.jpg
Sardines à l'huile de tournesol — Nixe — 125 g (90 g égoutté),1230 kj(294 kcal),"22,8 g","5,9 g",0 g,0 g,Na,"22,2 g",1 g,"0,394 g",Na,Na,Na,Na,D,_20041663_front_fr.21.200.jpg
Mango dados — Hacendado — 300 g,276 kj(66 kcal),"< 0,5 g",0 g,14 g,14 g,Na,"0,6 g","< 0,01 g","0,004 g",Na,Na,Na,Na,A,_848_000_061_0508_front_es.8.200.jpg
"Rooibos — Pompadour — 43,75 g (neto) (25 x 1,75 g)",4 kj(1 kcal),"0,1 g",0 g,0 g,0 g,"0,1 g",0 g,0 g,0 g,Na,Na,Na,Na,B,_841_290_010_0148_front_es.10.200.jpg
Tofu tradicional — Taifun — 200 g,511 kj(122 kcal),"6,5 g","1,3 g","1,4 g","< 0,5 g",Na,"13,3 g","< 0,01 g","0,004 g",Na,Na,Na,Na,A,_401_235_911_0107_front_es.7.200.jpg
Avena de la Buena Fresa-Plátano AdeS — Coca-Cola — 250 ml,213 kj(51 kcal),"1,3 g","0,2 g","9,1 g","5,9 g",Na,0 g,"0,02 g","0,008 g",Na,Na,44 mg,Na,E,_54008229_front_es.17.200.jpg
Green cola — 1.5l,4 kj(1 kcal),0 g,0 g,"0,1 g",0 g,0 g,0 g,"0,04 g","0,016 g",0 % vol,Na,Na,Na,B,_843_701_708_4037_front_es.4.200.jpg
Tofu — GutBio — 400 g e (2 * 200 g) (neto),595 kj(142 kcal),8 g,"1,5 g","0,4 g","0,4 g","2,3 g","16,1 g","< 0,025 g","0,01 g",Na,Na,Na,Na,A,_22049896_front_es.7.200.jpg
Tomate Frito — Solís — 350 g,318 kj(76 kcal),"3,4 g","0,4 g",9 g,"7,4 g","1,2 g","1,4 g","1,1 g","0,433 g",Na,Na,Na,Na,C,_761_303_292_1767_front_es.11.200.jpg
