Name,Energy,Fat,Saturated_fat,Carbohydrate,Sugars,Fiber,Proteins,Salt,Sodium,Alcohol,Zinc,Magnesium,Omega3,Score,Img
"Alubias con verduras — Monjardín — 720 g (neto), 600 g (escurrido), 720 ml","283,8 kj(68 kcal)","0,8 g","0,6 g","12,8 g","0,3 g",Na,"4,2 g","0,8 g","0,315 g",Na,Na,Na,Na,B,_841_323_920_0745_front_es.6.200.jpg
"Salteado de alubias — Mamía — 400 g (neto), 425 ml","429,64 kj(103 kcal)","4,04 g","0,57 g","12,99 g",Na,Na,"3,49 g",Na,Na,Na,Na,Na,Na,Na,_841_046_500_8558_front_es.5.200.jpg
Alubias con verduras — Auchan — 430 g (neto),"303,9 kj(73 kcal)",1 g,Na,"12,4 g",Na,Na,"3,3 g",Na,Na,Na,Na,Na,Na,Na,_841_090_201_1929_front_es.6.200.jpg
Alubia pinta con arroz — Litoral — 430 g,341 kj(82 kcal),"2,9 g","0,4 g","8,6 g","0,9 g","3,7 g","3,4 g","0,72 g","0,283 g",Na,Na,Na,Na,A,_761_303_466_5737_front_es.6.200.jpg
"Alubias a la jardinera — Hacendado — 420 g (neto), 425 ml",355 kj(85 kcal),"1,9 g","0,3 g","10,3 g","0,5 g",Na,"4,8 g","1,2 g","0,472 g",Na,Na,Na,Na,C,_848_000_026_1144_front_es.13.200.jpg
Lentejas con verduras — Como — 300 g,561 kj(134 kcal),4 g,"0,5 g","16,9 g","2,4 g","2,8 g","6,2 g","0,7 g","0,276 g",Na,Na,Na,Na,A,_843_654_811_3728_front_es.7.200.jpg
Lentejas estofadas con verduras — Latorralba — 250 g,192 kj(46 kcal),"1,1 g","0,17 g","5,1 g","1,7 g",Na,"3,8 g","0,68 g","0,268 g",Na,Na,Na,Na,B,_843_603_509_0211_front_es.9.200.jpg
"Lentejas a la jardinera — Cidacos — 420 g (neto), 425 ml",331 kj(79 kcal),"1,8 g",Na,"10,8 g",Na,Na,4 g,Na,Na,Na,Na,Na,Na,Na,_841_031_343_1835_front_es.5.200.jpg
Lentejas con verduras — Litoral — 430 g,278 kj(66 kcal),"2,7 g","0,4 g","6,8 g","1,2 g","1,7 g","2,9 g","0,57 g","0,224 g",Na,Na,Na,Na,B,_761_303_466_5676_front_es.6.200.jpg
Lentejas con verduras — Carrefour — 400 g (neto),302 kj(72 kcal),"1,9 g","0,6 g","9,4 g",Na,"1,7 g","3,4 g","0,847 g","0,333 g",Na,Na,Na,Na,Na,_843_187_606_5923_front_es.14.200.jpg
Garbanzos con guisantes y zanahoria — La Asturiana — 570 g,438 kj(105 kcal),"1,4 g",0 g,"15,1 g","2,35 g","4,87 g","5,3 g","0,762 g","0,3 g",Na,Na,Na,Na,A,_841_013_313_9515_front_es.8.200.jpg
"Garbanzos con verduras — Dia — 540 g (neto), 400 g (escurrido), 580 ml",418 kj(100 kcal),"1,5 g",Na,12 g,Na,Na,6 g,Na,Na,Na,Na,Na,Na,Na,_848_001_703_1235_front_es.6.200.jpg
Garbanzos con verduras — Auchan — 440 g (neto),380 kj(91 kcal),"2,2 g","0,3 g","12,1 g","0,8 g","1,2 g",5 g,"0,741 g","0,292 g",Na,Na,Na,Na,B,_841_090_201_1936_front_es.6.200.jpg
"Garbanzos a la jardinera — Cidacos — 420 g (neto), 425 ml",442 kj(106 kcal),"3,2 g",Na,"12,7 g",Na,Na,"5,2 g",Na,Na,Na,Na,Na,Na,Na,_841_031_343_1828_front_es.5.200.jpg
Garbanzos con espinacas — Litoral — 425 g,370 kj(88 kcal),"3,4 g","0,4 g","9,5 g","0,8 g","2,3 g","3,8 g","0,51 g","0,201 g",Na,Na,Na,Na,A,_761_303_466_5706_front_es.6.200.jpg
Garbanzos con verduras — Carrefour — 400 g (neto),366 kj(87 kcal),"3,2 g","0,6 g",10 g,Na,"2,3 g","3,2 g","0,9 g","0,354 g",Na,Na,Na,Na,Na,_843_187_606_5930_front_es.14.200.jpg
Pisto natural — La Gergaleña Productos Artesanales — 215 g,428 kj(102 kcal),8 g,"1,1 g","7,2 g","5,7 g",Na,1 g,"1,2 g","0,472 g",Na,Na,Na,Na,C,_843_700_297_6590_front_es.8.200.jpg
Pisto de verduras congelado — Hacendado — 400 g,253 kj(60 kcal),"1,1 g","0,1 g","9,9 g","5,6 g","2,3 g","1,6 g","0,6 g","0,236 g",Na,Na,Na,Na,B,_848_000_061_3516_front_es.6.200.jpg
"Fritada — Carrefour — 400 g (neto), 425 ml",448 kj(107 kcal),"7,1 g","1,1 g","9,6 g","7,8 g",1 g,"0,8 g","1,524 g","0,6 g",Na,Na,Na,Na,C,_356_007_064_8856_front_es.6.200.jpg
Fritada — Hacendado — 380 g (neto),367 kj(88 kcal),"4,5 g","0,5 g",10 g,8 g,Na,"1,2 g","0,5 g","0,197 g",Na,Na,Na,Na,C,_848_000_017_1528_front_es.5.200.jpg
"Pisto con calabacín — Dia — 350 g (neto), 370 ml",262 kj(63 kcal),3 g,"0,5 g","7,3 g",1 g,"0,8 g","1,2 g","0,991 g","0,39 g",Na,Na,Na,Na,C,_848_001_704_9117_front_es.5.200.jpg
Pisto de hortalizas — Alipende — 240 g,260 kj(62 kcal),"3,4 g","0,4 g","5,5 g",4 g,"1,1 g","1,9 g",1 g,"0,394 g",Na,Na,Na,Na,B,_842_169_181_6572_front_es.17.200.jpg
"Pisto de hortalizas — El Cultivador — 420 g (neto), 425 ml",312 kj(75 kcal),"3,1 g","0,4 g","8,7 g","8,3 g",Na,"1,4 g","1,2 g","0,472 g",Na,Na,Na,Na,C,_24050920_front_es.6.200.jpg
"Pisto — Hida — 290 g (neto), 314 ml",341 kj(82 kcal),"4,4 g","0,5 g","9,2 g","7,4 g",1 g,"1,3 g","0,762 g","0,3 g",Na,Na,Na,Na,C,_842_452_306_0167_front_es.7.200.jpg
Pisto de verduras — Carretilla — 240 g (neto),284 kj(68 kcal),"5,4 g","0,7 g","6,7 g","2,9 g",3 g,"1,3 g","1,016 g","0,4 g",Na,Na,Na,Na,B,_841_041_600_3250_front_es.5.200.jpg
"Pisto — Sargona — 570 g (neto), 580 ml",367 kj(88 kcal),"3,3 g",0 g,14 g,8 g,"0,7 g","0,4 g","1,27 g","0,5 g",Na,Na,Na,Na,C,_20367701_front_es.6.200.jpg
Pisto — Ybarra — 350 g (neto),"288,4 kj(69 kcal)","3,4 g",Na,"8,3 g",Na,Na,"1,3 g",Na,Na,Na,Na,Na,Na,Na,_841_008_695_4081_front_es.5.200.jpg
"Pisto — Soria Natural — 400 g, 445 ml","221,18 kj(53 kcal)","2,78 g","0,38 g","6,23 g",Na,"1,2 g","0,73 g","0,762 g","0,3 g",Na,Na,Na,Na,Na,_842_294_782_0022_front_es.5.200.jpg
"Pisto — Hida — 400 g (neto), 425 ml",343 kj(82 kcal),"4,4 g","0,6 g","9,2 g","7,4 g",1 g,"1,3 g","0,762 g","0,3 g",Na,Na,Na,Na,C,_842_452_306_0020_front_es.5.200.jpg
Curry de Madrás — GutBio — 70 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_200_000_002_9566_front_es.8.200.jpg
Garam masala — GutBio — 70 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_200_000_002_9564_front_es.8.200.jpg
Tandoori — GutBio — 80 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_200_000_002_9565_front_es.8.200.jpg
Baharat — GutBio — 70 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_200_000_002_9454_front_es.10.200.jpg
Ras el hanout — GutBio — 65 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_24045674_front_es.8.200.jpg
Aceite de linaza — GutBio — 250 ml,3404 kj(814 kcal),92 g,9 g,0 g,0 g,Na,0 g,0 g,0 g,Na,Na,Na,52 g,C,_24086929_front_es.7.200.jpg
Semillas de canihua — El Granero Integral — 250 g,1307 kj(312 kcal),"6,5 g","1,04 g","48,5 g","0,5 g",15 g,"14,8 g","0,19 g","0,075 g",Na,Na,Na,Na,A,_842_258_401_8776_front_es.9.200.jpg
"Aceitunas negras deshuesadas — Feudo Verde — 350 g (neto), 150 g (escurrido), 370 ml",532 kj(127 kcal),13 g,"2,2 g",0 g,0 g,Na,"0,5 g","2,5 g","0,984 g",Na,Na,Na,Na,D,_843_700_691_3942_front_es.11.200.jpg
"Aceitunas negras cacereñas deshuesadas — SuperSol — 360 g (neto), 150 g (escurrido), 370 ml",639 kj(153 kcal),"16,3 g","2,6 g",0 g,0 g,Na,1 g,"2,8 g","1,102 g",Na,Na,Na,Na,C,_843_080_301_8544_front_es.16.200.jpg
Choco Chips Crispy Dark — Mister Choc — 125 g,2224 kj(532 kcal),"31,3 g","19,8 g","51,5 g",43 g,Na,"7,6 g","0,15 g","0,059 g",Na,Na,Na,Na,E,_20419196_front_es.11.200.jpg
Láminas de chocolate amargo — Maurinus — 125 g,2221 kj(531 kcal),32 g,21 g,50 g,43 g,Na,"7,3 g","0,15 g","0,059 g",Na,Na,Na,Na,E,_29039821_front_es.11.200.jpg
"Castañas en almíbar — Delicious Dia — 390 g (neto), 235 g (escurrido), 347 ml",888 kj(212 kcal),"1,2 g","0,2 g",45 g,18 g,Na,"1,8 g","0,01 g","0,004 g",Na,Na,Na,Na,C,_848_001_715_6983_front_es.10.200.jpg
Mermelada de ciruela y kiwi — Delicious Dia — 320 g,773 kj(185 kcal),0 g,0 g,44 g,42 g,Na,"0,5 g",0 g,0 g,Na,Na,Na,Na,C,_848_001_713_9634_front_es.9.200.jpg
"Alcachofa cuarteada — Mensajero — 390 g (neto), 240 g (escurrido), 425 ml",100 kj(24 kcal),"0,1 g",0 g,6 g,1 g,4 g,"1,7 g","0,6 g","0,236 g",Na,Na,Na,Na,A,_841_024_411_6436_front_es.8.200.jpg
Café soluble — Carrefour — 200 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_843_187_600_6438_front_es.15.200.jpg
"Corazones de berenjenas de Almagro — Antonio — 350 g (neto), 170 g (escurrido), 370 ml, 6/8 Uds",108 kj(26 kcal),"< 0,5 g",0 g,"4,6 g","0,5 g",Na,"1,1 g","1,3 g","0,512 g",Na,Na,Na,Na,B,_841_147_110_1790_front_es.17.200.jpg
Chocolate negro 47% cacao — Aliada — 125 g,2211 kj(528 kcal),31 g,20 g,55 g,52 g,Na,"5,2 g","0,07 g","0,028 g",Na,Na,Na,Na,E,_843_332_904_5131_front_es.7.200.jpg
Chocolate negro con almendras 47% cacao — Aliada — 150 g,2293 kj(548 kcal),36 g,17 g,46 g,44 g,Na,8 g,"0,06 g","0,024 g",Na,Na,Na,Na,E,_843_332_904_5193_front_es.6.200.jpg
"Atjar Tjampoer — VitAsia — 330 (neto), 200 g (escurrido), 370 ml",164 kj(39 kcal),"0,1 g","< 0,1 g",8 g,"7,8 g",Na,"0,7 g","0,76 g","0,299 g",Na,Na,Na,Na,A,_20576042_front_es.6.200.jpg
Guacamole fresco sabor picante — Frudel — 215 g (neto),297 kj(71 kcal),6 g,Na,5 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_843_700_715_0070_front_es.5.200.jpg
Coco — Isla Bonita — 1 pieza,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_840_017_125_1188_front_es.5.200.jpg
"Puré de pera — Ibsa — 240 g (neto), 250 ml","249,36 kj(60 kcal)","0,4 g","0,1 g",8 g,2 g,Na,2 g,"0,102 g","0,04 g",Na,Na,Na,Na,A,_841_246_416_3122_front_es.9.200.jpg
Postre de fruta Manzana — Hacendado — 260 g (2 x 130 g),340 kj(81 kcal),"0,2 g","0,1 g","19,2 g","13,7 g","1,5 g","0,32 g","0,015 g","0,006 g",Na,Na,Na,Na,A,_848_000_009_0027_front_es.7.200.jpg
Puré de pera y canela — Naturfruit — 200 g (2 x 100 g),"340,4 kj(81 kcal)","0,1 g",0 g,"17,8 g","17,7 g","3,9 g","0,3 g",0 g,0 g,Na,Na,Na,Na,A,_842_566_700_5472_front_es.5.200.jpg
"Alcaparras en vinagre — Dia — 135 g (neto), 80 g (escurrido), 153 ml",162 kj(39 kcal),"0,5 g","0,2 g","6,1 g","0,2 g",Na,1 g,"2,4 g","0,945 g",Na,Na,Na,Na,C,_848_001_712_0830_front_es.8.200.jpg
"Alubias blancas cocidas — Campo Largo — 540 g (neto), 400 g (escurrido)",363 kj(87 kcal),"0,6 g","0,1 g",12 g,"< 0,5 g",Na,"5,4 g","0,52 g","0,205 g",Na,Na,Na,Na,B,_20657864_front_es.8.200.jpg
Orégano seco molido — Casa Femafa — 20 g,1740 kj(416 kcal),"10,3 g",Na,"68,92 g",Na,"42,8 g",11 g,Na,Na,Na,Na,Na,Na,Na,_843_506_531_0405_front_es.8.200.jpg
Zanahorias baby congeladas — Barnetti — 450 g,136 kj(33 kcal),"0,2 g","0,1 g","5,6 g","2,8 g",Na,"0,7 g","0,16 g","0,063 g",Na,Na,Na,Na,A,_20495589_front_es.7.200.jpg
Cebolla congelada — Barnetti — 450 g,118 kj(28 kcal),"0,1 g","0,01 g","6,6 g","2,9 g","1,8 g","0,8 g","0,025 g","0,01 g",Na,Na,Na,Na,A,_20319014_front_es.9.200.jpg
Cebolla deshidratada — Casa Femafa — 50 g,1090 kj(261 kcal),0 g,Na,53 g,Na,18 g,"11,4 g",Na,Na,Na,Na,Na,Na,Na,_843_506_530_0154_front_es.7.200.jpg
Cebolla deshidratada — Trevijano — 125 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_841_077_002_2812_front_es.6.200.jpg
